1	11	1	1	1	1	176
1	11.25	1	1	1	1	177
1	11.5	1	1	1	1	178
1	11.75	1	1	1	1	179
1	12	1	1	1	1	180
1	12.25	1	1	1	1	181
1	12.5	1	1	1	1	182
1	12.75	1	1	1	1	183
1	13	1	1	1	1	184
1	13.25	1	1	1	1	185
1	13.5	1	1	1	1	186
1	13.75	1	1	1	1	187
1	14	1	1	1	1	188
1	14.25	1	1	1	1	189
1	14.5	1	1	1	1	190
1	14.75	1	1	1	1	191
1	15	1	1	1	1	192
1	15.25	1	1	1	1	193
1	15.5	1	1	1	1	194
1	15.75	1	1	1	1	195
1	16	1	1	1	1	196
1	16.25	1	1	1	1	197
1	16.5	1	1	1	1	198
1	0.816551651	1	1	1	1	199
1	1.224870214	1	1	1	1	200
1	1.500179685	1	1	1	1	201
1	1.837369429	1	1	1	1	202
1	2.250348044	1	1	1	1	203
1	0.707090101	1	1	1	1	204
1	1.414113481	1	1	1	1	205
1	1.999811287	1	1	1	1	206
1	2.828093527	1	1	1	1	207
1	3.999433873	1	1	1	1	208
1	0.577288987	1	1	1	1	209
1	1.731845679	1	1	1	1	210
1	2.999626276	1	1	1	1	211
1	5.195473191	1	1	1	1	212
1	8.998768245	1	1	1	1	213
1	0.499926415	1	1	1	1	214
1	1.999117112	1	1	1	1	215
1	3.997645804	1	1	1	1	216
1	7.994114943	1	1	1	1	217
1	15.9858769	1	1	1	1	218
1	1	0.5	1	1	1	219
1	1	0.6	1	1	1	220
1	1	0.7	1	1	1	221
1	1	0.8	1	1	1	222
1	1	0.9	1	1	1	223
1	1	1	1	1	1	224
1	1	1.1	1	1	1	225
1	1	1.2	1	1	1	226
1	1	1.3	1	1	1	227
1	1	1.4	1	1	1	228
1	1	1.5	1	1	1	229
1	1	1.6	1	1	1	230
1	1	1.7	1	1	1	231
1	1	1.8	1	1	1	232
1	1	1.9	1	1	1	233
1	1	2	1	1	1	234
1	1	2.1	1	1	1	235
1	1	2.2	1	1	1	236
1	1	2.3	1	1	1	237
1	1	2.4	1	1	1	238
1	1	2.5	1	1	1	239
1	1	2.6	1	1	1	240
